신호등_index,관리번호,관할구,주소,X좌표,Y좌표,교통사고,label,smart_label
23653,03-0000035891,중랑구,중랑구 면목동 136-92대,206513.5333,554417.0845,729.1338338,0,0.374475466
23654,03-0000023859,중랑구,중랑구 면목동 494대,206480.2173,554426.5799,694.5176809,0,0.361059495
23655,03-0000045336,중랑구,중랑구 상봉동 496 대,207813.6075,555279.7664,40.05114399,1,0.637320501
23656,03-0000045343,중랑구,중랑구 상봉동 279-56 도,208019.6875,555348.4375,207.6004589,1,0.672341988
23657,03-0000045349,중랑구,중랑구 상봉동 279-119대,208008.9375,555359.2188,203.9342147,1,0.703792087
23658,03-0000036757,중랑구,중랑구 망우동 785대,208393.644,555447.4254,590.3474615,1,0.624753336
23659,03-0000031540,중랑구,중랑구 망우동 479-1대,208564.8358,555575.5455,772.4224429,0,0.559287545
23660,03-0000027533,중랑구,중랑구 상봉동 479대,208556.1625,555588.7437,787.3159147,0,0.592297227
23661,03-0000061014,중랑구,중랑구 면목동 163-2도,207285.7959,554691.4364,784.0227244,0,0.295771011
23662,03-0000061016,중랑구,중랑구 상봉동 114-61대,207280.8625,554710.7562,773.9717947,0,0.319316007
23663,03-0000023735,중랑구,중랑구 상봉동 114-1공,207422.4523,554748.9121,649.4367484,0,0.382226434
23664,03-0000023568,중랑구,중랑구 묵동 385-1도,206452.8419,556752.7993,584.3337885,0,0.174889343
23665,03-0000023310,중랑구,중랑구 묵동 189-12도,206433.1786,556759.1076,600.1479754,0,0.178642118
23666,03-0000062473,중랑구,중랑구 면목동 108-67대,207809.4532,553831.5294,408.9312521,0,0.40376772
23667,03-0000062356,중랑구,중랑구 면목동 50-29대,208319.3194,553871.387,726.9824243,0,0.342412138
23668,03-0000048550,중랑구,중랑구 신내동 83 전,209191.9229,557081.338,1971.364665,0,0.251425225
23669,03-0000048551,중랑구,중랑구 망우동 83 전,209190.3256,557066.4877,1956.506501,0,0.278838613
23670,03-0000062248,중랑구,중랑구 면목동 98-63대,207763.9023,554224.5035,796.7714677,0,0.402433848
23671,03-0000062250,중랑구,중랑구 면목동 98-64 대,207756.9231,554216.2906,788.4090266,0,0.4314244
23672,03-0000062251,중랑구,중랑구 면목동 1324-3도,207805.3032,553913.7866,489.7392817,0,0.363166485
23673,03-0000062253,중랑구,중랑구 면목동 1324-3도,207815.0532,553917.5991,494.8426718,0,0.392810776
23674,03-0000062255,중랑구,중랑구 면목동 108-67대,207800.7969,553832.312,408.3930905,0,0.392581061
23675,03-0000028960,중랑구,중랑구 망우동 534-27도,208604.2752,554581.7509,782.2334335,0,0.501746821
23676,03-0000075073,중랑구,중랑구 면목동 49-28도,208303.2116,553884.8027,722.6891281,0,0.338542927
23677,03-0000061309,중랑구,중랑구 면목동 106-15대,207679.4099,554544.5062,721.1474571,0,0.524550409
23678,03-0000061311,중랑구,중랑구 상봉동 89-6대,207837.525,554861.0437,386.9563487,0,0.348772557
23679,03-0000061314,중랑구,중랑구 면목동 89-38대,207842.5226,554843.1165,404.9085012,0,0.345243887
23680,03-0000061316,중랑구,중랑구 면목동 180-86대,206931.6789,554108.3015,1058.950373,0,0.34931821
23681,03-0000061469,중랑구,중랑구 묵동 177-9대,206883.8088,556512.1184,480.0465612,0,0.499431844
23682,03-0000061473,중랑구,중랑구 묵동 122-163대,206948.875,556326.7687,654.5999592,1,0.628988281
23683,03-0000061475,중랑구,중랑구 묵동 122-204도,206924.8625,556311.2437,672.0372358,1,0.64446145
23684,03-0000061477,중랑구,중랑구 묵동 194-3도,206980.5854,556213.1728,766.8996403,1,0.65049617
23685,03-0000061478,중랑구,중랑구 중화동 181-31대,206976.125,556200.9062,779.238589,1,0.640346042
23686,03-0000061480,중랑구,중랑구 중화동 181-33대,206970.1999,556183.7971,796.478721,1,0.618980761
23687,03-0000023604,중랑구,중랑구 중화동 181-43대,206945.575,556179.2937,802.0039653,1,0.597234051
23688,03-0000061484,중랑구,중랑구 중화동 181-42대,206936.7375,556193.2062,788.6753324,0,0.634654349
23689,03-0000061486,중랑구,중랑구 묵동 181-41대,206935.055,556206.2067,775.8263291,1,0.662098834
23690,03-0000061488,중랑구,중랑구 묵동 181-40대,206938.15,556220.7687,761.0812633,1,0.662876784
23691,03-0000061502,중랑구,중랑구 묵동 678-1도,206734.3757,557302.1359,411.9817528,1,0.681811268
23692,03-0000061504,중랑구,중랑구 묵동 629-1 도,206735.834,557353.7332,452.6444802,0,0.644355114
23693,03-0000054858,중랑구,중랑구 중화동 56-4도,206702.05,554932.9562,960.1871265,1,0.654540038
23694,03-0000061505,중랑구,중랑구 중화동 299-117대,206711.377,554935.2454,969.7172659,1,0.628108467
23695,03-0000054854,중랑구,중랑구 중화동 299-118대,206708.2375,554944.4562,970.1115189,1,0.634113693
23696,03-0000061506,중랑구,중랑구 상봉동 산27임,207689.4551,555914.7468,683.0930628,1,0.573658726
23697,03-0000061306,중랑구,중랑구 면목동 106-33대,207697.171,554548.6073,713.4299389,0,0.53397857
23698,03-0000056640,중랑구,중랑구 면목동 109대,207540.541,554543.8834,764.3698575,0,0.361855552
23699,03-0000023751,중랑구,중랑구 면목동 534-27도,208584.3637,554541.1616,824.4940433,0,0.482837267
23700,03-0000031548,중랑구,중랑구 면목동 1504-6 제,207448.7486,554247.9543,871.2206356,0,0.371877443
23701,03-0000054860,중랑구,중랑구 상봉동 73-3철,206717.4326,554917.6437,969.2879567,1,0.658557197
23702,03-0000024426,중랑구,중랑구 면목동 1504-6 제,207444.4361,554256.9856,881.1785762,1,0.377233339
23703,03-0000027510,중랑구,중랑구 면목동 138-14 종,207425.0611,554253.0481,884.25983,0,0.366086145
